資料ID,資料名,大きさ：縦（cm）,大きさ：横（cm）,由来,入手日,情報入力日,情報更新日,所蔵機関,所蔵地点情報,画像データURL,画像公開条件,画像撮影者,備考
1,三国大野屋襖裏張り文書資料（仮）,132.2,55.4,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
2,三国大野屋襖裏張り文書資料（仮）,166.1,56.4,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
3,三国大野屋襖裏張り文書資料（仮）,133.7,55.7,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,3、4重なっていた
4,三国大野屋襖裏張り文書資料（仮）,156.2,56,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,3、4重なっていた
5,三国大野屋襖裏張り文書資料（仮）,166.4,54.5,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
6,三国大野屋襖裏張り文書資料（仮）,165.2,54.9,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
7,三国大野屋襖裏張り文書資料（仮）,117.8,56,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
8,三国大野屋襖裏張り文書資料（仮）,166.4,57.4,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
9,三国大野屋襖裏張り文書資料（仮）,131.2,55.9,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
10,三国大野屋襖裏張り文書資料（仮）,139.3,56.5,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
11,三国大野屋襖裏張り文書資料（仮）,166.9,55.4,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
12,三国大野屋襖裏張り文書資料（仮）,166.5,55.1,ヤフオク,2018/6/28,2018/7/22,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHskEo2bGW,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
