資料ID,資料名,題材,大きさ：縦（cm）,大きさ：横（cm）,形態,作成者,由来,入手日,情報入力日,情報更新日,所蔵機関,所蔵地点情報,画像データURL,画像公開条件,画像撮影者,備考
01,宮城県師範学校図案資料（仮）,兜,27.4 ,38.5 ,紙本著色,京道きみよ,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
02,宮城県師範学校図案資料（仮）,人物、風俗,25.0 ,32.0 ,紙本墨画,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
03,宮城県師範学校図案資料（仮）,兎,27.7 ,34.2 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
04,宮城県師範学校図案資料（仮）,花、水仙、鋏,27.2 ,38.8 ,紙本著色,女子第二学年生　京道きみよ,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
05,宮城県師範学校図案資料（仮）,花、菊,39.3 ,27.7 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
06,宮城県師範学校図案資料（仮）,紋、桐,28.0 ,39.8 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
07,宮城県師範学校図案資料（仮）,花、菊,39.3 ,27.8 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
08,宮城県師範学校図案資料（仮）,花、牡丹,27.6 ,39.5 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
09,宮城県師範学校図案資料（仮）,花、蜻蛉,27.8 ,39.5 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
10,宮城県師範学校図案資料（仮）,鬼灯,27.9 ,39.8 ,紙本著色,女子第二学年生　京道きみよ,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
11,宮城県師範学校図案資料（仮）,花,27.8 ,39.4 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
