文書群番号？,文書番号,枝番1,枝番2,資料名,年号,干支,西暦,月,日,差出人・作成者,印文,宛名,奥書・端裏書・封上書,形態,数量,由来,入手日,情報入力日,情報更新日,所蔵機関,所蔵地点情報,画像データURL,画像公開条件,画像撮影者,備考
3,1,,,大福帳,大正5,,,12,吉,滝沢徳次,,,,縦帳,1,ヤフオク,2018年8月16日,2018年8月30日,2018年9月6日,合同会社AMANE,"38.354272, 140.861024",https://flic.kr/s/aHsmn7mQLL,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),合同会社AMANE,
3,2,,,大福帳,（大正5ヵ）,,,1,吉,滝沢徳次,,,,縦帳,1,ヤフオク,2018年8月16日,2018年8月30日,2018年9月6日,合同会社AMANE,"38.354272, 140.861024",https://flic.kr/s/aHsmn7mQLL,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),合同会社AMANE,
3,3,,,大福帳,（明治）,,,-2,（吉）,滝沢徳次,,,,横半帳,1,ヤフオク,2018年8月16日,2018年8月30日,2018年9月6日,合同会社AMANE,"38.354272, 140.861024",https://flic.kr/s/aHsmn7mQLL,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),合同会社AMANE,
3,4,,,大福帳,明治43,,,旧正,1,大沼郡横田村　横田雄徳社　滝沢徳次,,,,横半帳,1,ヤフオク,2018年8月16日,2018年8月30日,2018年9月6日,合同会社AMANE,"38.354272, 140.861024",https://flic.kr/s/aHsmn7mQLL,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),合同会社AMANE,表紙に結び付いている史料あり？
3,5,,,大福帳,大正3,,,12,吉,滝沢徳次,,,,縦帳,1,ヤフオク,2018年8月16日,2018年8月30日,2018年9月6日,合同会社AMANE,"38.354272, 140.861024",https://flic.kr/s/aHsmn7mQLL,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),合同会社AMANE,縦帳は「若松佐島屋製」
3,6,,,地価帳,明治13,辰,,1,吉,滝沢徳次郎,,,,横半帳,1,ヤフオク,2018年8月16日,2018年8月30日,2018年9月6日,合同会社AMANE,"38.354272, 140.861024",https://flic.kr/s/aHsmn7mQLL,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),合同会社AMANE,
3,7,,,大福帳,明治42,,,正,元旦,上横田高盛堂　合名会社　滝沢徳次（朱印）,印文は「滝沢徳次」,,,横半帳,1,ヤフオク,2018年8月16日,2018年8月30日,2018年9月6日,合同会社AMANE,"38.354272, 140.861024",https://flic.kr/s/aHsmn7mQLL,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),合同会社AMANE,複数の付箋あり
3,8,,,大福帳,明治38,,,旧12,29,上横田　滝沢勇吉,,,,横帳,1,ヤフオク,2018年8月16日,2018年8月30日,2018年9月6日,合同会社AMANE,"38.354272, 140.861024",https://flic.kr/s/aHsmn7mQLL,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),合同会社AMANE,裏表紙に「金円帳」とあり。
3,9,,,大福帳,（明治26ヵ）,巳,,1,吉,横田村　滝沢源蔵,,,,横帳,1,ヤフオク,2018年8月16日,2018年8月30日,2018年9月6日,合同会社AMANE,"38.354272, 140.861024",https://flic.kr/s/aHsmn7mQLL,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),合同会社AMANE,裏表紙に「日下恵」とあり。
3,10,,,差引帳,明治28,,,正,吉,,,,,横帳,1,ヤフオク,2018年8月16日,2018年8月30日,2018年9月6日,合同会社AMANE,"38.354272, 140.861024",https://flic.kr/s/aHsmn7mQLL,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),合同会社AMANE,
