文書群番号,資料束番号,資料束名,年代,西暦,差出人・作成者,宛名,形態,奥書・裏書等,数量,情報入力日,情報更新日,所蔵機関,所蔵地点情報,画像データURL,画像公開条件,備考
4,1,預ヶ申御田地之事（田地預け証文）等一括,元禄2年等,1689,漆原村借り主等,同村寅左衛門殿等,一紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,2,十年季本物返シ売渡シ御山証文之事（山売渡証文）等一括,享保21年等,1736,漆原村本人・庄屋等,,一紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,3,九年季本物返シ売渡申御山証文之事（山売渡証文）等一括,安永3年等,,漆原村本人・村役人等,同村市右衛門殿等,一紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,4,五年季本物返シ売渡シ申御高証文之事（高売渡証文）等一括,享和元年等,,漆原村売主・村役人等,村市右衛門殿等,一紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,5,借用申御廻米代金証文之事（金子借用証文）等一括,寛延3年,1750,漆原村村役人等,下野田村清左衛門殿,一紙等,内藤十右衛門手代羽山権蔵等裏書あり,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,6,（地税改正に付定免通達写）等一括,明治初年頃等,,,第七大区廿四小区丹生郡漆原村,罫紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,7,酉春普請仕様帳（用水普請）等一括,天保8年等,,漆原村,,冊子等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,8,未御年貢金請取通等一括,近世,,,,折紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,9,戌御年貢可納割附之事（年貢割付状）等一括,宝暦4年等,,内藤十右衛門等,越前国丹生郡漆原村庄屋・惣百姓等,続紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,10,（説教巡回に付宿所依頼廻状）等一括,明治36年等,,四ヶ浦村梅浦齢久寺等,余田村吉五郎殿等,切続紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,11,乍恐以書付ヲ奉願上候（丹生郡青野村庄右衛門悴娘女児出生の件）等一括,文久3年等,,丹生郡青野村庄右衛門等,同郡熊谷村久左衛門殿等,一紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,12,午御年貢可納割付之事（年貢割付状）等一括,近世,,,,続紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
